g,h,F_gh,A_g
1,1,0,4.99999999999933
1,2,0.119192758665279,4.99999999999933
1,3,0.00564558944666276,4.99999999999933
1,4,0.00576916275454931,4.99999999999933
2,1,0.119192758665294,4.99999999999872
2,2,3.81084636825421e-26,4.99999999999872
2,3,0.00577688756791609,4.99999999999872
2,4,0.00564354003104902,4.99999999999872
3,1,0.112911788933242,0.249999999999996
3,2,0.115537751358294,0.249999999999996
3,3,5.12944287259653e-23,0.249999999999996
3,4,0.000198767891521903,0.249999999999996
4,1,0.11538325509097,0.25
4,2,0.112870800620951,0.25
4,3,0.0001987678915219,0.25
4,4,0,0.25
