# Filename : LM_Channel_0550_mean_prof.dat 
# 
# Description : Profiles of the mean velocity and pressure 
# 
# Total number of data points  : 192
# 
# 
# 
# 
# The data in this file was extracted from a direct numerical simulation 
# of fully developed plane turbulent channel flow. The file is available at 
# http://turbulence.ices.utexas.edu, where it will be updated as necessary. 
# 
# When publishing results using this data, the following paper should be 
# cited as the source:  
# 
#    Myoungkyu Lee and Robert D. Moser,  
#    Direct numerical simulation of turbulent channel flow up to Re_tau = 5200, 
#    2015, Journal of Fluid Mechanics, vol. 774, pp. 395-415 
# 
# The paper can be found at http://journals.cambridge.org/article_S0022112015002682 
# 
# NOTE: before publication, please check 
# http://turbulence.ices.utexas.edu for any updates to the data and an 
# updated citation 
# 
# 
# Contact to Robert D. Moser(rmoser@ices.utexas.edu) or M.K. Lee(mk@ices.utexas.edu) for questions.
# 
# 
# The parameters defining the simulation from which this data were extracted are: 
# 
#  Grid (streamwise)       nx = 1536 
#  Grid (wall-normal)      ny = 384 
#  Grid (spanwise)         nz = 1024 
#  Streamwise domain size  Lx = 8pi 
#  Spanwise domain size    Lz = 3pi 
#  B-Spline order           n = 7 
#  Kinematic Viscosity     nu = 1.00000e-04 
#  Channel half width   delta = 1.000 
#  Avg streamwise vel  U_mean = 1.000 
#  Friction vel         u_tau = 5.43496e-02 
#  Re_tau              Re_tau =  543.496 
# 
# 
# All data are normalized by u_tau and nu (signified with a ^+) except 
# for y/delta 
# 
# This file was last updated on 6/15/2015.
# 
# 
# 
# Remark: 
# 
#      y/delta : Grid point in wall-normal direction, Normalized by channel half width 
#      y^+     : Grid point in wall-normal direction 
#      U       : Mean profile of streamwise velocity 
#    dU/dy     : Derivative of U in wall-normal direction 
#      W       : Mean profile of spanwise velocity 
#      P       : Mean profile of pressure 
# 
# *   Estimated standard deviations of datasets in this file are in the file: LM_Channel_0550_mean_stdev.dat 
# 
# **  Data at y/delta = 1.0 is not computed due to code performance optimization 
# 
# *** W should be zero due to (statistical) symmetries in the flow. 
#     It is reported here none-the-less as an indicator of the quality of the statistics.  
# 
# -----------End of header--------- 
# 
#         y/delta                    y^+                       U                      dU/dy                      W                        P           
#-----------------------------------------------------------------------------------------------------------------------------------------------------
    0.000000000000000e+00    0.000000000000000e+00    0.000000000000000e+00    1.000000000000000e+00    0.000000000000000e+00    0.000000000000000e+00
    4.960055044689327e-06    2.695770315769523e-03    2.695763630176473e-03    9.999950399289634e-01    1.464540641516243e-06   -7.394299498780067e-15
    2.479993079318454e-05    1.347866438236128e-02    1.347849723956927e-02    9.999751977279505e-01    7.322602114245896e-06   -4.606106869532756e-12
    6.943835963846290e-05    3.773947405876450e-02    3.773816328411264e-02    9.999305094275700e-01    2.050287047245726e-05   -2.810220641579030e-10
    1.487923519430945e-04    8.086805528724719e-02    8.086202857406799e-02    9.998506899782680e-01    4.393359851054446e-05   -5.847960724827118e-09
    2.727765073938793e-04    1.482529538173228e-01    1.482326151435646e-01    9.997240103763561e-01    8.054260806732403e-05   -6.472737025375680e-08
    4.513023265247940e-04    2.452810310211923e-01    2.452247868325503e-01    9.995340165444723e-01    1.332574354182656e-04   -4.710551942348381e-07
    6.942775224545450e-04    3.773370898258246e-01    3.772010354630190e-01    9.992516822380685e-01    2.050050836464524e-04   -2.536208481068705e-06
    1.006645277842999e-03    5.471077304725138e-01    5.468097258580288e-01    9.988264995756223e-01    2.972446730199070e-04   -1.065723302932088e-05
    1.388383901632650e-03    7.545811639572240e-01    7.539744515261873e-01    9.981676869992736e-01    4.099585140492580e-04   -3.627452833143028e-05
    1.839466885598995e-03    9.997429831646912e-01    9.985648719045925e-01    9.971136228167953e-01    5.430978346991309e-04   -1.040465906440140e-04
    2.359862906192278e-03    1.282576163869408e+00    1.280353802229458e+00    9.954021304030926e-01    6.965497956280920e-04   -2.597402450945010e-04
    2.949535826711647e-03    1.603061065917264e+00    1.598948605935470e+00    9.926411413745060e-01    8.700876402916425e-04   -5.785913326881285e-04
    3.608444699815139e-03    1.961175434589719e+00    1.953691693162784e+00    9.882881648881572e-01    1.063303898936777e-03   -1.172373671407834e-03
    4.336543770362744e-03    2.356894402148990e+00    2.343530099518778e+00    9.816501249583686e-01    1.275530520749856e-03   -2.193390262301470e-03
    5.133782478594084e-03    2.790190489565113e+00    2.766863117594682e+00    9.719151892275335e-01    1.505754291413183e-03   -3.834108749150611e-03
    6.000105463638716e-03    3.261033608423775e+00    3.221388361353123e+00    9.582229866051983e-01    1.752539337310612e-03   -6.322048642054278e-03
    6.935452567361056e-03    3.769391063016017e+00    3.703976789417877e+00    9.397690830774478e-01    2.013969278303554e-03   -9.910505603126523e-03
    7.939758838537370e-03    4.315227552608415e+00    4.210611255734477e+00    9.159270860932101e-01    2.287618984204882e-03   -1.486646675743203e-02
    9.012954537366280e-03    4.898505173894514e+00    4.736417492834115e+00    8.863627370183567e-01    2.570561637666550e-03   -2.145742057148107e-02
    1.015496514031144e-02    5.519183423626813e+00    5.275800998395435e+00    8.511133045134276e-01    2.859415806740925e-03   -2.993863800873271e-02
    1.136571134527642e-02    6.177219201429278e+00    5.822682096113406e+00    8.106133387611908e-01    3.150441598003893e-03   -4.054199800052535e-02
    1.264510907711180e-02    6.872566812790456e+00    6.370800890806424e+00    7.656612641622814e-01    3.439695203972417e-03   -5.346676518466445e-02
    1.399306949345314e-02    7.605177972236348e+00    6.914049969738949e+00    7.173352958406108e-01    3.723236084322100e-03   -6.887216026971170e-02
    1.540949899089039e-02    8.375001806683503e+00    7.446788926398745e+00    6.668773791178028e-01    3.997358691625751e-03   -8.687130122443991e-02
    1.689429921146768e-02    9.181984858971585e+00    7.964101141255007e+00    6.155680835146075e-01    4.258807047885011e-03   -1.075261946997508e-01
    1.844736704951344e-02    1.002607109157555e+01    8.461966991258445e+00    5.646136468807362e-01    4.504925140463622e-03   -1.308437910650258e-01
    2.006859465880007e-02    1.090720189049688e+01    8.937344485802338e+00    5.150602425391719e-01    4.733700373210659e-03   -1.567734571064018e-01
    2.175786946003322e-02    1.182531606933399e+01    9.388163866442101e+00    4.677424002843497e-01    4.943696008999612e-03   -1.852063973135971e-01
    2.351507414866882e-02    1.278034987353073e+01    9.813253737486400e+00    4.232647763643868e-01    5.133944170473827e-03   -2.159775187324685e-01
    2.534008670305921e-02    1.377223698480380e+01    1.021222147630423e+01    3.820109622879836e-01    5.303882180170172e-03   -2.488699950887377e-01
    2.723278039292598e-02    1.480090852574770e+01    1.058531056247868e+01    3.441705364695433e-01    5.453287383055707e-03   -2.836223886879910e-01
    2.919302378816102e-02    1.586629306461805e+01    1.093325383948521e+01    3.097756622930550e-01    5.582095043123902e-03   -3.199377881890386e-01
    3.122068076795215e-02    1.696831662029134e+01    1.125713635756138e+01    2.787398981852820e-01    5.690101385755513e-03   -3.574941437682780e-01
    3.331561053023624e-02    1.810690266740270e+01    1.155827574197568e+01    2.508941935529379e-01    5.776718793427205e-03   -3.959549061187296e-01
    3.547766760147619e-02    1.928197214165958e+01    1.183812369723356e+01    2.260179830242187e-01    5.841101444976555e-03   -4.349792926436583e-01
    3.770670184676284e-02    2.049344344533214e+01    1.209818982689578e+01    2.038648696318888e-01    5.882831143383177e-03   -4.742318722445602e-01
    4.000255848024048e-02    2.174123245291950e+01    1.233998682828272e+01    1.841820198967869e-01    5.902864477039590e-03   -5.133912723602951e-01
    4.236507807585510e-02    2.302525251699132e+01    1.256499334568986e+01    1.667225143856423e-01    5.904236091331005e-03   -5.521575489737156e-01
