# Filename : LM_Channel_0550_vel_fluc_prof.dat 
# 
# Description : Variance and covariance of velocity components 
# 
# Total number of data points  : 192
# 
# 
# 
# 
# The data in this file was extracted from a direct numerical simulation 
# of fully developed plane turbulent channel flow. The file is available at 
# http://turbulence.ices.utexas.edu, where it will be updated as necessary. 
# 
# When publishing results using this data, the following paper should be 
# cited as the source:  
# 
#    Myoungkyu Lee and Robert D. Moser,  
#    Direct numerical simulation of turbulent channel flow up to Re_tau = 5200, 
#    2015, Journal of Fluid Mechanics, vol. 774, pp. 395-415 
# 
# The paper can be found at http://journals.cambridge.org/article_S0022112015002682 
# 
# NOTE: before publication, please check 
# http://turbulence.ices.utexas.edu for any updates to the data and an 
# updated citation 
# 
# 
# Contact to Robert D. Moser(rmoser@ices.utexas.edu) or M.K. Lee(mk@ices.utexas.edu) for questions.
# 
# 
# The parameters defining the simulation from which this data were extracted are: 
# 
#  Grid (streamwise)       nx = 1536 
#  Grid (wall-normal)      ny = 384 
#  Grid (spanwise)         nz = 1024 
#  Streamwise domain size  Lx = 8pi 
#  Spanwise domain size    Lz = 3pi 
#  B-Spline order           n = 7 
#  Kinematic Viscosity     nu = 1.00000e-04 
#  Channel half width   delta = 1.000 
#  Avg streamwise vel  U_mean = 1.000 
#  Friction vel         u_tau = 5.43496e-02 
#  Re_tau              Re_tau =  543.496 
# 
# 
# All data are normalized by u_tau and nu (signified with a ^+) except 
# for y/delta 
# 
# This file was last updated on 6/15/2015.
# 
# 
# 
# Remark: 
# 
#      y/delta : Grid point in wall-normal direction, Normalized by channel half width 
#      y^+     : Grid point in wall-normal direction 
#      u'u'    : Variance of u 
#      v'v'    : Variance of v 
#      w'w'    : Variance of w 
#      u'v'    : Covariance of u and v 
#      u'w'    : Covariance of u and w 
#      v'w'    : Covariance of v and w 
#       k      : Turbulent kinetic energy, k = 0.5*(u'u' + v'v' + w'w')
# 
# *   Estimated standard deviations of datasets in this file are in the file: LM_Channel_0550_vel_fluc_stdev.dat 
# 
# **  Data at y/delta = 1.0 is not computed due to code performance optimization 
# 
# *** u'w' and v'w' should be zero due to (statistical) symmetries in the flow. 
#     These are reported here none-the-less as an indicator of the quality of the statistics.  
# 
# -----------End of header--------- 
# 
#         y/delta                    y^+                    u'u'                     v'v'                     w'w'                     u'v'                     u'w'                     v'w'                       k            
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
    0.000000000000000e+00    0.000000000000000e+00    1.458396928712247e-34    0.000000000000000e+00    2.948178917405795e-34    0.000000000000000e+00   -5.537036511105955e-37    0.000000000000000e+00    2.203287923059021e-34
    4.960055044689327e-06    2.695770315769523e-03    1.189616701975902e-06    7.394295099260748e-15    4.932175247058725e-07   -1.910620852615977e-11    6.905025634259438e-10   -2.450115603811746e-14    8.414171170380350e-07
    2.479993079318454e-05    1.347866438236128e-02    2.973259640193555e-05    4.606104124225703e-12    1.229709691599479e-05   -2.390467144677508e-09    1.727014011308768e-08   -3.061343925352193e-12    2.101484896201723e-05
    6.943835963846290e-05    3.773947405876450e-02    2.329724656093623e-04    2.810218960038762e-10    9.582684600394942e-05   -5.258512422043052e-08    1.355343865585388e-07   -6.713857559089480e-11    1.643997963176038e-04
    1.487923519430945e-04    8.086805528724719e-02    1.068751209655581e-03    5.847957200343076e-09    4.353314589891092e-04   -5.193396427564131e-07    6.234818194115094e-07   -6.594588127171197e-10    7.520442583009451e-04
    2.727765073938793e-04    1.482529538173228e-01    3.587132920736242e-03    6.472733078532985e-08    1.439053606493820e-03   -3.218549197820581e-06    2.101638299573155e-06   -4.051692770301314e-09    2.513125627280424e-03
    4.513023265247940e-04    2.452810310211923e-01    9.801307697485445e-03    4.710549019343355e-07    3.846873431177177e-03   -1.469549368400434e-05    5.777840053895816e-06   -1.826697535283933e-08    6.824326091782277e-03
    6.942775224545450e-04    3.773370898258246e-01    2.314367894241369e-02    2.536206868285839e-06    8.817706732931937e-03   -5.407364593551074e-05    1.375800834387283e-05   -6.605321557751769e-08    1.598196094110696e-02
    1.006645277842999e-03    5.471077304725138e-01    4.852522387918291e-02    1.065722603350749e-05    1.779856010568818e-02   -1.669253630077874e-04    2.916220127134373e-05   -1.993525286712616e-07    3.316722060545230e-02
    1.388383901632650e-03    7.545811639572240e-01    9.203141703868521e-02    3.627450358264674e-05    3.223618345762439e-02   -4.440630580106027e-04    5.606474524243308e-05   -5.159358691698801e-07    6.215193749994613e-02
    1.839466885598995e-03    9.997429831646912e-01    1.609978535286562e-01    1.040465164062365e-04    5.344272804832668e-02   -1.047144802035333e-03    9.971891627010047e-05   -1.178418332673373e-06    1.072723140466945e-01
    2.359862906192278e-03    1.282576163869408e+00    2.638851624427855e-01    2.597400502451097e-04    8.243182360231245e-02   -2.238387667182317e-03    1.667436230032301e-04   -2.431249692342537e-06    1.732883630476715e-01
    2.949535826711647e-03    1.603061065917264e+00    4.100007101591965e-01    5.785908745151497e-04    1.197964790899609e-01   -4.409900720622859e-03    2.653036778157419e-04   -4.611820028576805e-06    2.651878900618363e-01
    3.608444699815139e-03    1.961175434589719e+00    6.089519786605346e-01    1.172372689461941e-03    1.656426866772953e-01   -8.104208982220976e-03    4.051637726736167e-04   -8.151157847688134e-06    3.878835190136459e-01
    4.336543770362744e-03    2.356894402148990e+00    8.697229218589559e-01    2.193388320200596e-03    2.195858813332505e-01   -1.401440604302845e-02    5.974019440978818e-04   -1.356041330522842e-05    5.457510957562035e-01
    5.133782478594084e-03    2.790190489565113e+00    1.199343865240275e+00    3.834105171153340e-03    2.808093767166986e-01   -2.295231240615739e-02    8.535202881752369e-04   -2.140182421999942e-05    7.419936735640632e-01
    6.000105463638716e-03    3.261033608423775e+00    1.601287309560267e+00    6.322042453128255e-03    3.481745649673024e-01   -3.577824448581046e-02    1.183792966693100e-03   -3.224643139555079e-05    9.778919584903488e-01
    6.935452567361056e-03    3.769391063016017e+00    2.073918057548980e+00    9.910495475721258e-03    4.203633553182781e-01   -5.329652868491381e-02    1.594985714337002e-03   -4.662361262033858e-05    1.252095954171490e+00
    7.939758838537370e-03    4.315227552608415e+00    2.609453893947186e+00    1.486645096122039e-02    4.960268318272600e-01   -7.613339302933446e-02    2.087956144036070e-03   -6.496774951696652e-05    1.560173588367833e+00
    9.012954537366280e-03    4.898505173894514e+00    3.193853566025103e+00    2.145739693289642e-02    5.739133593956578e-01   -1.046228761853556e-01    2.655909743069685e-03   -8.756262831259519e-05    1.894612161176829e+00
    1.015496514031144e-02    5.519183423626813e+00    3.807821261114132e+00    2.993860391527691e-02    6.529553690045669e-01   -1.387274376355633e-01    3.284097763323940e-03   -1.144772361740986e-04    2.245357617016988e+00
    1.136571134527642e-02    6.177219201429278e+00    4.428786528619643e+00    4.054195047881866e-02    7.323051382277656e-01   -1.780122113407462e-01    3.951390545123775e-03   -1.454926003874633e-04    2.600816808663113e+00
    1.264510907711180e-02    6.872566812790456e+00    5.033430171312942e+00    5.346670100304477e-02    8.113226794385155e-01   -2.216784428095959e-01    4.633420614063893e-03   -1.800435927603310e-04    2.949109775877251e+00
    1.399306949345314e-02    7.605177972236348e+00    5.600197879615752e+00    6.887207595923288e-02    8.895294841305520e-01   -2.686476497109757e-01    5.306171833581311e-03   -2.172127368734762e-04    3.279299719852768e+00
    1.540949899089039e-02    8.375001806683503e+00    6.111305895573133e+00    8.687119299374473e-02    9.665471568754685e-01   -3.176778085755305e-01    5.948597816209145e-03   -2.557929709860097e-04    3.582362122721173e+00
    1.689429921146768e-02    9.181984858971585e+00    6.553942901007280e+00    1.075260583489240e-01    1.042038999351301e+00   -3.674885853856666e-01    6.543353546830030e-03   -2.944089549287544e-04    3.851753979353753e+00
    1.844736704951344e-02    1.002607109157555e+01    6.920614460567436e+00    1.308436220743922e-01    1.115667217368888e+00   -4.168743292568138e-01    7.075715149222010e-03   -3.316695841902598e-04    4.083562650005359e+00
    2.006859465880007e-02    1.090720189049688e+01    7.208774116385635e+00    1.567732511699473e-01    1.187071499518652e+00   -4.647897133515670e-01    7.532047490646271e-03   -3.663012175510007e-04    4.276309433537117e+00
    2.175786946003322e-02    1.182531606933399e+01    7.419990578780244e+00    1.852061515204519e-01    1.255868492095730e+00   -5.104011434782336e-01    7.899924581155111e-03   -3.971923841162706e-04    4.430532611198213e+00
    2.351507414866882e-02    1.278034987353073e+01    7.558910413177990e+00    2.159772330121702e-01    1.321667236870134e+00   -5.531048301586934e-01    8.170288896538300e-03   -4.233376929525770e-04    4.548277441530146e+00
    2.534008670305921e-02    1.377223698480380e+01    7.632221535082286e+00    2.488696729784949e-01    1.384092774694244e+00   -5.925178881955921e-01    8.339303442058464e-03   -4.438130215652535e-04    4.632591991377512e+00
    2.723278039292598e-02    1.480090852574770e+01    7.647746510603771e+00    2.836220367566516e-01    1.442809961253631e+00   -6.284513019054664e-01    8.408327614909859e-03   -4.579003449641816e-04    4.687089254307027e+00
